[Mon Feb 08 01:49:16.234611 2021] [php7:error] [pid 27673] [client 192.168.1.162:39528] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/index.php?t=instr
[Mon Feb 08 01:49:55.905683 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39532] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:51:40.016548 2021] [php7:notice] [pid 27672] [client 192.168.1.162:39546] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 01:51:45.888840 2021] [php7:error] [pid 27673] [client 192.168.1.162:39548] script '/home/servers/www/cpanel.php' not found or unable to stat, referer: http://vapor.cagstech.com/srv.php?s=vapor-server
[Mon Feb 08 01:56:21.327824 2021] [php7:notice] [pid 27679] [client 192.168.1.162:39564] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 02:33:25.003408 2021] [php7:notice] [pid 27669] [client 192.168.1.162:39632] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 02:55:58.260261 2021] [php7:notice] [pid 27670] [client 192.168.1.162:39670] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 02:56:10.985052 2021] [php7:notice] [pid 27671] [client 192.168.1.162:39672] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 11:11:25.456766 2021] [php7:notice] [pid 15148] [client 192.168.1.162:40404] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 11:12:34.055516 2021] [php7:notice] [pid 27671] [client 192.168.1.162:40412] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 84, referer: http://vapor.cagstech.com/
[Mon Feb 08 12:17:34.040078 2021] [php7:notice] [pid 27673] [client 192.168.1.162:40504] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 85, referer: http://vapor.cagstech.com/
[Mon Feb 08 12:17:47.085450 2021] [php7:notice] [pid 27671] [client 192.168.1.162:40508] PHP Notice:  Undefined variable: error in /home/servers/www/srv.php on line 85, referer: http://vapor.cagstech.com/
[Mon Feb 08 12:22:27.647946 2021] [php7:notice] [pid 27670] [client 192.168.1.162:40530] PHP Notice:  Undefined variable: value in /home/servers/www/srv.php on line 42, referer: http://vapor.cagstech.com/
[Mon Feb 08 12:22:27.648027 2021] [php7:notice] [pid 27670] [client 192.168.1.162:40530] PHP Notice:  Array to string conversion in /home/servers/www/srv.php on line 15, referer: http://vapor.cagstech.com/
